layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,0,0,1.000000000e+00,-0.000141,-0.000114,-0.938665,2.142877e+00,7.759235e-01,2.761711,1.459304e+00,1.459165e+00
0,Q,0,1,8.659643234e-01,-0.000513,0.000381,-0.676508,2.355357e+00,2.012808e-01,11.701845,1.277766e+00,1.277944e+00
0,Q,0,2,7.498942093e-01,-0.000302,-0.000091,0.841377,9.483822e-01,2.460533e-01,3.854377,5.971119e-01,5.971490e-01
0,Q,0,3,6.493816316e-01,-0.000082,0.000691,-0.128146,5.960020e-01,2.604766e-01,2.288121,4.282255e-01,4.282604e-01
0,Q,0,4,5.623413252e-01,-0.000657,0.000585,0.702606,1.287474e-01,8.722257e-01,0.147608,5.007309e-01,5.005932e-01
0,Q,0,5,4.869675252e-01,-0.000345,0.000973,0.674708,2.299858e-01,3.463336e-01,0.664059,2.881798e-01,2.879945e-01
0,Q,0,6,4.216965034e-01,-0.000354,-0.000042,-0.040233,2.644350e-01,5.887658e-01,0.449134,4.266578e-01,4.266572e-01
0,Q,0,7,3.651741273e-01,0.000207,0.000125,0.266255,1.592255e-01,6.315193e-01,0.252131,3.953236e-01,3.953131e-01
0,Q,0,8,3.162277660e-01,0.000501,0.000498,-0.603668,3.257853e-01,2.431596e-01,1.339800,2.844931e-01,2.845777e-01
0,Q,0,9,2.738419634e-01,-0.000581,0.001707,-0.103961,2.155050e-01,5.077801e-01,0.424406,3.617274e-01,3.617861e-01
0,Q,0,10,2.371373706e-01,-0.000989,0.001734,-0.800735,8.882979e-01,6.385119e-01,1.391200,7.632813e-01,7.643273e-01
0,Q,0,11,2.053525026e-01,-0.000937,0.000196,-0.285255,4.343852e-01,2.596896e-01,1.672709,3.469555e-01,3.469743e-01
0,Q,0,12,1.778279410e-01,-0.000637,0.000035,0.755402,7.444998e-01,2.906368e-01,2.561616,5.174238e-01,5.174114e-01
0,Q,0,13,1.539926526e-01,0.000591,0.002928,0.066898,5.835219e-01,2.869046e-01,2.033853,4.353009e-01,4.352207e-01
0,Q,0,14,1.333521432e-01,-0.000775,0.000062,-0.694500,3.336343e-01,8.882252e-01,0.375619,6.111447e-01,6.111682e-01
0,Q,0,15,1.154781985e-01,0.001777,0.002740,-0.638484,1.085361e+00,6.218461e-01,1.745386,8.540156e-01,8.554528e-01
0,Q,0,16,1.000000000e-01,0.002108,0.001763,0.359258,1.428771e+00,7.431478e-01,1.922593,1.086682e+00,1.086029e+00
0,Q,0,17,8.659643234e-02,0.000356,0.005570,0.745213,8.491741e-01,2.974158e-01,2.855174,5.733933e-01,5.713071e-01
0,Q,0,18,7.498942093e-02,-0.002202,0.000644,0.059271,1.106262e+00,3.318828e-01,3.333292,7.182199e-01,7.181968e-01
0,Q,0,19,6.493816316e-02,0.002888,0.005838,0.077965,4.898747e-01,5.110132e-01,0.958634,5.004134e-01,5.001857e-01
0,Q,0,20,5.623413252e-02,-0.004023,0.006479,0.513814,4.991143e-01,1.817588e+00,0.274603,1.161003e+00,1.157832e+00
0,Q,0,21,4.869675252e-02,-0.005259,0.004912,-0.699194,4.395286e-01,1.234309e+00,0.356093,8.390086e-01,8.415382e-01
0,Q,0,22,4.216965034e-02,-0.000137,0.011576,-0.692544,2.913499e-01,5.354013e-01,0.544171,4.133923e-01,4.165587e-01
0,Q,0,23,3.651741273e-02,-0.006439,0.004164,-0.405767,7.354262e-01,3.462566e-01,2.123934,5.395885e-01,5.404411e-01
0,Q,0,24,3.162277660e-02,-0.005526,0.013351,-0.223082,2.405629e-01,2.698465e-01,0.891480,2.552856e-01,2.560444e-01
0,Q,0,25,2.738419634e-02,-0.007252,0.003401,0.141999,2.372132e-01,3.012716e-01,0.787373,2.694747e-01,2.693456e-01
0,Q,0,26,2.371373706e-02,0.002145,0.020309,0.042368,6.425409e-01,6.923588e-01,0.928046,6.673964e-01,6.668225e-01
0,Q,0,27,2.053525026e-02,0.007325,0.021056,-0.329716,2.303891e-01,8.416362e-01,0.273740,5.337740e-01,5.368312e-01
0,Q,0,28,1.778279410e-02,-0.007991,0.025063,0.250439,5.233408e-01,5.379377e-01,0.972865,5.306975e-01,5.273671e-01
0,Q,0,29,1.539926526e-02,0.003815,0.000527,-0.028006,8.146250e-02,2.713869e-01,0.300171,1.760624e-01,1.760646e-01
0,Q,0,30,1.333521432e-02,-0.017483,0.024473,0.233895,6.124880e-01,9.259102e-01,0.661498,7.719389e-01,7.676283e-01
0,Q,0,31,1.154781985e-02,-0.004186,0.041912,0.303981,2.646658e-01,2.759504e-01,0.959106,2.703317e-01,2.668886e-01
0,Q,0,32,1.000000000e-02,-0.003392,0.048624,0.291650,7.064594e-01,1.122112e+00,0.629580,9.149905e-01,9.023642e-01
0,Q,0,33,8.659643234e-03,-0.022692,0.045249,-0.494230,8.673563e-01,1.624291e-01,5.339906,5.068944e-01,5.152884e-01
0,Q,0,34,7.498942093e-03,-0.021037,0.007504,0.285373,7.404719e-01,5.928309e-01,1.249044,6.650984e-01,6.636796e-01
0,Q,0,35,6.493816316e-03,0.037170,0.033903,-0.250840,5.859187e-01,1.240767e+00,0.472223,9.011723e-01,9.084233e-01
0,Q,0,36,5.623413252e-03,-0.037860,0.065093,-0.123537,4.077690e-01,8.010680e-01,0.509032,6.118636e-01,6.164595e-01
0,Q,0,37,4.869675252e-03,0.044471,0.027461,0.028358,2.040910e-01,8.486904e-01,0.240478,5.120578e-01,5.117337e-01
0,Q,0,38,4.216965034e-03,-0.058139,0.058002,0.573611,1.850036e-01,8.488157e+00,0.021796,4.577949e+00,4.536257e+00
0,Q,0,39,3.651741273e-03,0.045170,0.115920,0.062097,1.025851e+01,3.286306e-02,312.159356,5.376633e+00,5.372453e+00
0,Q,0,40,3.162277660e-03,0.029071,0.005782,-0.608333,4.554491e-02,7.660920e+00,0.005945,3.742539e+00,3.744617e+00
0,Q,0,41,2.738419634e-03,-0.087176,0.069373,-0.462836,1.803247e-01,6.346038e-01,0.284153,4.272653e-01,4.381270e-01
0,Q,0,42,2.371373706e-03,-0.029757,0.201586,0.008273,4.493553e-02,1.285583e+00,0.034953,6.837181e-01,6.833173e-01
0,Q,0,43,2.053525026e-03,0.100528,0.181971,0.249030,4.484560e-01,3.491911e-01,1.284271,4.038130e-01,3.858803e-01
0,Q,0,44,1.778279410e-03,0.115461,0.063392,0.446075,1.562105e-01,9.849626e-01,0.158595,5.227421e-01,5.116501e-01
0,Q,0,45,1.539926526e-03,0.003861,0.000053,0.657555,2.664472e-01,2.118225e-01,1.257879,2.392403e-01,2.392320e-01
0,Q,0,46,1.333521432e-03,-0.134071,0.058145,-0.091784,1.235988e+00,2.345580e-01,5.269435,6.681418e-01,6.710153e-01
