layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,0,0,1.000000000e+00,-0.000141,-0.000114,0.660187,6.770764e-02,1.583999e-02,4.274475,4.177016e-02,4.177263e-02
0,Q,0,1,8.659643234e-01,-0.000513,0.000381,-0.817571,5.228255e-01,7.153385e-02,7.308786,2.970638e-01,2.971242e-01
0,Q,0,2,7.498942093e-01,-0.000302,-0.000091,-0.960538,1.961487e-01,4.293790e-01,0.456820,3.127990e-01,3.127735e-01
0,Q,0,3,6.493816316e-01,-0.000082,0.000691,0.109383,1.150149e-01,2.093112e-01,0.549492,1.621669e-01,1.621552e-01
0,Q,0,4,5.623413252e-01,-0.000657,0.000585,-0.412606,2.286070e-01,2.256461e-01,1.013122,2.271256e-01,2.271804e-01
0,Q,0,5,4.869675252e-01,-0.000345,0.000973,-0.622121,1.911049e-01,6.059731e-01,0.315369,3.986106e-01,3.988165e-01
0,Q,0,6,4.216965034e-01,-0.000354,-0.000042,0.368635,1.983299e-01,7.154612e-02,2.772056,1.349155e-01,1.349174e-01
0,Q,0,7,3.651741273e-01,0.000207,0.000125,-0.460600,9.840549e-02,1.293951e-01,0.760504,1.138971e-01,1.139036e-01
0,Q,0,8,3.162277660e-01,0.000501,0.000498,-0.816369,8.114986e-01,1.278226e-01,6.348632,4.698317e-01,4.699626e-01
0,Q,0,9,2.738419634e-01,-0.000581,0.001707,0.908024,4.328693e-01,4.641876e-01,0.932531,4.485375e-01,4.478428e-01
0,Q,0,10,2.371373706e-01,-0.000989,0.001734,-0.675687,2.252094e-01,2.344934e-01,0.960408,2.298560e-01,2.301253e-01
0,Q,0,11,2.053525026e-01,-0.000937,0.000196,-0.773185,2.254463e+00,1.569370e-01,14.365403,1.204717e+00,1.204807e+00
0,Q,0,12,1.778279410e-01,-0.000637,0.000035,-0.648259,3.215004e-01,1.041728e-01,3.086222,2.127674e-01,2.127716e-01
0,Q,0,13,1.539926526e-01,0.000591,0.002928,-0.406750,8.642133e-01,6.666197e-02,12.964113,4.656732e-01,4.659591e-01
0,Q,0,14,1.333521432e-01,-0.000775,0.000062,-0.431626,2.314334e-01,2.648291e-02,8.738973,1.288787e-01,1.288808e-01
0,Q,0,15,1.154781985e-01,0.001777,0.002740,0.425707,6.835661e-01,7.258497e-02,9.417461,3.786185e-01,3.783586e-01
0,Q,0,16,1.000000000e-01,0.002108,0.001763,-0.104119,7.477265e-02,1.372891e-01,0.544637,1.059650e-01,1.059836e-01
0,Q,0,17,8.659643234e-02,0.000356,0.005570,-0.037555,4.709266e-02,7.773622e-02,0.605801,6.240898e-02,6.242164e-02
0,Q,0,18,7.498942093e-02,-0.002202,0.000644,0.173143,4.905812e-01,6.117574e-02,8.019210,2.754057e-01,2.753864e-01
0,Q,0,19,6.493816316e-02,0.002888,0.005838,0.704969,1.541782e-01,7.077429e-01,0.217845,4.301612e-01,4.288016e-01
0,Q,0,20,5.623413252e-02,-0.004023,0.006479,-0.146266,2.888257e-01,3.309293e-02,8.727716,1.604449e-01,1.605376e-01
0,Q,0,21,4.869675252e-02,-0.005259,0.004912,-0.125794,3.000521e-01,7.409421e-02,4.049602,1.864790e-01,1.865712e-01
0,Q,0,22,4.216965034e-02,-0.000137,0.011576,0.556715,3.400483e-01,6.512567e-02,5.221418,2.025682e-01,2.016091e-01
0,Q,0,23,3.651741273e-02,-0.006439,0.004164,-0.412386,7.496773e-01,8.715311e-02,8.601842,4.162823e-01,4.167212e-01
0,Q,0,24,3.162277660e-02,-0.005526,0.013351,0.403548,1.585653e-01,7.906167e-02,2.005590,1.185938e-01,1.179906e-01
0,Q,0,25,2.738419634e-02,-0.007252,0.003401,-0.656498,1.355099e-01,2.634356e-01,0.514395,1.999366e-01,2.003584e-01
0,Q,0,26,2.371373706e-02,0.002145,0.020309,0.107137,1.437935e-01,1.060814e-01,1.355502,1.249779e-01,1.247092e-01
0,Q,0,27,2.053525026e-02,0.007325,0.021056,0.019325,7.472200e-01,4.800905e-02,15.564149,4.001753e-01,4.000983e-01
0,Q,0,28,1.778279410e-02,-0.007991,0.025063,-0.051372,7.409943e-02,8.468223e-02,0.875029,7.943311e-02,7.953511e-02
0,Q,0,29,1.539926526e-02,0.003815,0.000527,0.418141,1.715691e-01,6.179013e-02,2.776643,1.168891e-01,1.168664e-01
0,Q,0,30,1.333521432e-02,-0.017483,0.024473,0.082653,7.309820e-02,8.651077e-02,0.844961,7.992173e-02,7.976088e-02
0,Q,0,31,1.154781985e-02,-0.004186,0.041912,0.233583,1.004898e-01,9.341976e-02,1.075680,9.693996e-02,9.599141e-02
0,Q,0,32,1.000000000e-02,-0.003392,0.048624,-0.533529,1.005113e-01,1.752599e-01,0.573499,1.380124e-01,1.414556e-01
0,Q,0,33,8.659643234e-03,-0.022692,0.045249,0.484059,9.238830e-02,6.737007e-02,1.371355,7.959532e-02,7.786730e-02
0,Q,0,34,7.498942093e-03,-0.021037,0.007504,-0.354328,6.711047e-02,5.218823e-02,1.285931,5.949239e-02,5.964974e-02
0,Q,0,35,6.493816316e-03,0.037170,0.033903,-0.231411,1.040888e-01,6.281151e-02,1.657161,8.421727e-02,8.485164e-02
0,Q,0,36,5.623413252e-03,-0.037860,0.065093,0.245473,1.084047e-01,9.564663e-02,1.133388,1.017842e-01,1.001571e-01
0,Q,0,37,4.869675252e-03,0.044471,0.027461,-0.167758,1.173383e-01,5.521102e-02,2.125269,8.765608e-02,8.802687e-02
0,Q,0,38,4.216965034e-03,-0.058139,0.058002,-0.299480,3.534932e-02,2.072312e-01,0.170579,1.262868e-01,1.277735e-01
0,Q,0,39,3.651741273e-03,0.045170,0.115920,0.512650,2.693847e-01,1.711074e-02,15.743608,1.489453e-01,1.449107e-01
0,Q,0,40,3.162277660e-03,0.029071,0.005782,0.357859,3.249833e-02,2.675871e-01,0.121450,1.466256e-01,1.464327e-01
0,Q,0,41,2.738419634e-03,-0.087176,0.069373,0.092279,1.623951e-02,4.774690e-02,0.340117,3.336655e-02,3.318829e-02
0,Q,0,42,2.371373706e-03,-0.029757,0.201586,-0.744008,3.150134e-01,9.646940e-01,0.326542,6.495199e-01,7.321992e-01
0,Q,0,43,2.053525026e-03,0.100528,0.181971,0.133565,5.011856e-02,4.353340e-02,1.151267,4.715698e-02,4.602169e-02
0,Q,0,44,1.778279410e-03,0.115461,0.063392,-0.190176,6.709064e-02,5.485746e-01,0.122300,2.800362e-01,2.823491e-01
0,Q,0,45,1.539926526e-03,0.003861,0.000053,-0.298402,6.428437e-02,1.648560e-02,3.899424,4.047725e-02,4.047777e-02
0,Q,0,46,1.333521432e-03,-0.134071,0.058145,0.324783,1.131060e-01,9.906423e-02,1.141744,1.051438e-01,1.031448e-01
0,Q,0,47,1.154781985e-03,-0.211624,0.207453,-0.149742,6.519814e-02,2.264804e-02,2.878755,3.942077e-02,4.061447e-02
0,Q,0,48,1.000000000e-03,-0.199597,0.385077,-0.622835,1.272502e-01,2.583962e-01,0.492462,2.059114e-01,2.494018e-01
0,Q,0,49,8.659643234e-04,-0.111657,0.540910,-0.349659,1.483331e-01,1.407172e-01,1.054122,1.441000e-01,1.714251e-01
0,Q,0,50,7.498942093e-04,0.022292,0.650353,0.630390,4.171083e-01,1.658248e-01,2.515356,2.942673e-01,1.864454e-01
0,Q,0,51,6.493816316e-04,0.173724,0.709245,0.310509,1.677470e-01,1.421670e-01,1.179930,1.571790e-01,1.231697e-01
0,Q,0,52,5.623413252e-04,0.322370,0.724679,-0.321131,1.780833e-02,4.134981e-02,0.430675,2.578454e-02,3.209958e-02
0,Q,0,53,4.869675252e-04,0.456647,0.707750,0.366954,4.392176e-02,1.467826e-01,0.299230,7.186666e-02,5.101366e-02
0,Q,0,54,4.216965034e-04,0.571593,0.669410,0.218690,5.937850e-02,2.388167e-01,0.248636,9.781474e-02,8.038188e-02
0,Q,0,55,3.651741273e-04,0.666452,0.618679,-0.556737,1.862421e-01,1.512852e-01,1.231067,1.804122e-01,2.382288e-01
0,Q,0,56,3.162277660e-04,0.742743,0.562238,0.114796,7.114232e-02,3.409252e-02,2.086743,6.637666e-02,6.319801e-02
0,Q,0,57,2.738419634e-04,0.802978,0.504661,0.023786,4.423743e-02,3.157182e-01,0.140117,7.098123e-02,6.956264e-02
0,Q,0,58,2.371373706e-04,0.849905,0.448857,0.364238,5.318831e-02,2.368696e-01,0.224547,6.697317e-02,4.862231e-02
0,Q,0,59,2.053525026e-04,0.886105,0.396526,-0.061821,6.561502e-02,6.035379e-02,1.087173,6.531541e-02,6.685804e-02
0,Q,0,60,1.778279410e-04,0.913831,0.348535,-0.238600,1.188855e-01,7.510814e-02,1.582857,1.169993e-01,1.248576e-01
0,Q,0,61,1.539926526e-04,0.934951,0.305203,0.226192,4.663426e-02,1.056887e-01,0.441242,4.855498e-02,4.370844e-02
0,Q,0,62,1.333521432e-04,0.950977,0.266509,-0.150883,9.426628e-02,1.994864e-01,0.472545,9.684540e-02,1.023597e-01
0,Q,0,63,1.154781985e-04,0.963100,0.232234,0.195816,2.010675e-02,5.089497e-02,0.395064,2.067479e-02,1.922006e-02
0,Q,1,0,1.000000000e+00,-0.000141,-0.000114,-0.675919,2.129782e+00,2.058968e-01,10.343929,1.167703e+00,1.167652e+00
0,Q,1,1,8.659643234e-01,-0.000513,0.000381,0.624217,1.377553e+00,7.959917e-02,17.306127,7.282431e-01,7.281642e-01
0,Q,1,2,7.498942093e-01,-0.000302,-0.000091,0.838536,1.029633e+00,2.528913e-01,4.071446,6.411451e-01,6.411843e-01
0,Q,1,3,6.493816316e-01,-0.000082,0.000691,0.525169,7.427730e-01,3.012986e-01,2.465239,5.220176e-01,5.218458e-01
0,Q,1,4,5.623413252e-01,-0.000657,0.000585,0.746329,2.572178e-01,3.279670e-01,0.784280,2.926156e-01,2.924889e-01
0,Q,1,5,4.869675252e-01,-0.000345,0.000973,0.603478,1.095691e-01,2.023412e-01,0.541506,1.559711e-01,1.558837e-01
0,Q,1,6,4.216965034e-01,-0.000354,-0.000042,-0.520409,2.161338e-01,5.992250e-01,0.360689,4.077473e-01,4.077394e-01
0,Q,1,7,3.651741273e-01,0.000207,0.000125,-0.021915,1.415715e-01,1.502865e-01,0.942011,1.459281e-01,1.459285e-01
0,Q,1,8,3.162277660e-01,0.000501,0.000498,-0.691925,2.126788e-01,3.057995e-01,0.695484,2.592158e-01,2.593036e-01
0,Q,1,9,2.738419634e-01,-0.000581,0.001707,0.400468,1.096431e-01,1.367020e-01,0.802059,1.231804e-01,1.230967e-01
0,Q,1,10,2.371373706e-01,-0.000989,0.001734,-0.247851,4.234586e-01,1.483230e-01,2.854976,2.857547e-01,2.858624e-01
0,Q,1,11,2.053525026e-01,-0.000937,0.000196,0.534785,2.751943e-01,1.552268e-01,1.772853,2.151543e-01,2.151326e-01
0,Q,1,12,1.778279410e-01,-0.000637,0.000035,-0.025791,1.674083e-01,8.392042e-02,1.994845,1.256378e-01,1.256379e-01
0,Q,1,13,1.539926526e-01,0.000591,0.002928,0.215441,2.705799e-01,2.206370e-01,1.226358,2.456232e-01,2.454691e-01
0,Q,1,14,1.333521432e-01,-0.000775,0.000062,-0.372769,2.360317e-01,2.835993e-01,0.832272,2.598340e-01,2.598399e-01
0,Q,1,15,1.154781985e-01,0.001777,0.002740,-0.248126,4.314296e-01,2.705074e-01,1.594891,3.511115e-01,3.513438e-01
0,Q,1,16,1.000000000e-01,0.002108,0.001763,-0.144318,7.611999e-01,1.706239e-01,4.461275,4.665342e-01,4.666259e-01
0,Q,1,17,8.659643234e-02,0.000356,0.005570,0.593863,4.189719e-01,2.063245e-01,2.030646,3.126861e-01,3.117134e-01
0,Q,1,18,7.498942093e-02,-0.002202,0.000644,-0.588484,3.656841e-01,3.132814e-01,1.167271,3.394250e-01,3.395534e-01
0,Q,1,19,6.493816316e-02,0.002888,0.005838,0.384220,4.197012e-01,3.309117e-01,1.268318,3.754347e-01,3.745987e-01
0,Q,1,20,5.623413252e-02,-0.004023,0.006479,-0.202893,1.652640e-01,2.019138e-01,0.818488,1.836626e-01,1.839028e-01
0,Q,1,21,4.869675252e-02,-0.005259,0.004912,-0.348387,3.716436e-01,4.637061e-01,0.801464,4.179169e-01,4.186273e-01
0,Q,1,22,4.216965034e-02,-0.000137,0.011576,-0.478612,1.870167e-01,2.196731e-01,0.851341,2.033471e-01,2.044701e-01
0,Q,1,23,3.651741273e-02,-0.006439,0.004164,0.140099,3.786994e-01,2.885032e-01,1.312635,3.333110e-01,3.331181e-01
0,Q,1,24,3.162277660e-02,-0.005526,0.013351,0.194704,1.428337e-01,1.782901e-01,0.801131,1.606599e-01,1.602450e-01
0,Q,1,25,2.738419634e-02,-0.007252,0.003401,0.064280,1.770041e-01,1.155825e-01,1.531409,1.460706e-01,1.460393e-01
0,Q,1,26,2.371373706e-02,0.002145,0.020309,-0.007686,4.029788e-01,2.833864e-01,1.422012,3.433109e-01,3.433636e-01
0,Q,1,27,2.053525026e-02,0.007325,0.021056,-0.154478,5.651267e-01,2.844707e-01,1.986591,4.258266e-01,4.271308e-01
0,Q,1,28,1.778279410e-02,-0.007991,0.025063,0.176049,4.446561e-01,4.316629e-01,1.030100,4.381076e-01,4.361745e-01
0,Q,1,29,1.539926526e-02,0.003815,0.000527,-0.482552,1.487854e-01,1.585646e-01,0.938327,1.536564e-01,1.536954e-01
0,Q,1,30,1.333521432e-02,-0.017483,0.024473,0.376592,3.382698e-01,5.352871e-01,0.631941,4.385007e-01,4.345789e-01
0,Q,1,31,1.154781985e-02,-0.004186,0.041912,0.220685,1.276897e-01,1.262893e-01,1.011089,1.269866e-01,1.258120e-01
0,Q,1,32,1.000000000e-02,-0.003392,0.048624,0.310700,3.500857e-01,4.372340e-01,0.800683,3.938076e-01,3.878970e-01
0,Q,1,33,8.659643234e-03,-0.022692,0.045249,-0.482188,3.151275e-01,1.672158e-01,1.884556,2.394934e-01,2.445019e-01
0,Q,1,34,7.498942093e-03,-0.021037,0.007504,-0.002595,3.408972e-01,3.974058e-01,0.857806,3.697459e-01,3.697531e-01
0,Q,1,35,6.493816316e-03,0.037170,0.033903,-0.191898,3.809882e-01,5.567077e-01,0.684360,4.655822e-01,4.685784e-01
0,Q,1,36,5.623413252e-03,-0.037860,0.065093,0.018637,7.707501e-01,5.640708e-01,1.366407,6.634980e-01,6.626982e-01
0,Q,1,37,4.869675252e-03,0.044471,0.027461,0.394482,4.419267e-01,2.377201e-01,1.859021,3.443640e-01,3.408529e-01
0,Q,1,38,4.216965034e-03,-0.058139,0.058002,-0.485566,3.141116e-02,8.379079e-01,0.037488,4.581040e-01,4.626731e-01
0,Q,1,39,3.651741273e-03,0.045170,0.115920,-0.417941,1.338358e+00,3.890108e-02,34.404150,7.179779e-01,7.290324e-01
0,Q,1,40,3.162277660e-03,0.029071,0.005782,0.443009,5.092715e-02,1.079443e+00,0.047179,5.502352e-01,5.496346e-01
0,Q,1,41,2.738419634e-03,-0.087176,0.069373,-0.047800,1.484337e-01,2.193693e-01,0.676639,1.869934e-01,1.875918e-01
0,Q,1,42,2.371373706e-03,-0.029757,0.201586,-0.710344,2.988172e-01,6.338036e+00,0.047147,3.408281e+00,3.605345e+00
0,Q,1,43,2.053525026e-03,0.100528,0.181971,0.615185,3.818419e-01,2.476219e-01,1.542036,3.214783e-01,2.870557e-01
0,Q,1,44,1.778279410e-03,0.115461,0.063392,0.702733,4.656895e-01,7.450019e-01,0.625085,5.892208e-01,5.629814e-01
0,Q,1,45,1.539926526e-03,0.003861,0.000053,-0.612470,1.349782e-01,1.345123e-01,1.003464,1.347462e-01,1.347506e-01
0,Q,1,46,1.333521432e-03,-0.134071,0.058145,0.047114,1.187915e+00,1.187075e-01,10.007082,5.816367e-01,5.806080e-01
0,Q,1,47,1.154781985e-03,-0.211624,0.207453,-0.044977,1.938170e-01,1.397934e-01,1.386453,1.610889e-01,1.626247e-01
0,Q,1,48,1.000000000e-03,-0.199597,0.385077,0.379095,4.391386e-01,2.091336e-01,2.099799,3.011820e-01,2.569427e-01
0,Q,1,49,8.659643234e-04,-0.111657,0.540910,-0.460755,5.447796e-01,3.504553e-01,1.554491,4.367686e-01,5.456673e-01
0,Q,1,50,7.498942093e-04,0.022292,0.650353,-0.292530,1.344678e+00,1.760752e-01,7.636954,7.734019e-01,8.659735e-01
0,Q,1,51,6.493816316e-04,0.173724,0.709245,0.540568,2.672021e-01,6.966556e-01,0.383550,4.446255e-01,2.792104e-01
0,Q,1,52,5.623413252e-04,0.322370,0.724679,-0.336950,3.998653e-02,1.361689e-01,0.293654,7.257459e-02,9.059262e-02
0,Q,1,53,4.869675252e-04,0.456647,0.707750,0.056683,1.693611e-01,1.615150e-01,1.048578,1.672295e-01,1.605944e-01
0,Q,1,54,4.216965034e-04,0.571593,0.669410,-0.078041,8.948323e-02,1.827901e-01,0.489541,1.094699e-01,1.161512e-01
0,Q,1,55,3.651741273e-04,0.666452,0.618679,-0.779838,1.027389e+00,8.660087e-01,1.186349,1.000475e+00,1.455566e+00
0,Q,1,56,3.162277660e-04,0.742743,0.562238,0.459180,2.261233e-01,2.029126e-01,1.114388,2.231377e-01,1.678370e-01
0,Q,1,57,2.738419634e-04,0.802978,0.504661,0.577999,2.780248e-01,9.821340e-01,0.283082,3.473872e-01,1.949630e-01
0,Q,1,58,2.371373706e-04,0.849905,0.448857,-0.415156,1.476254e-01,1.357079e+00,0.108782,2.383921e-01,3.217990e-01
0,Q,1,59,2.053525026e-04,0.886105,0.396526,0.315210,3.228849e-01,5.011817e-01,0.644247,3.330384e-01,2.827586e-01
0,Q,1,60,1.778279410e-04,0.913831,0.348535,-0.534303,3.783092e-01,2.483740e-01,1.523144,3.727110e-01,4.297944e-01
0,Q,1,61,1.539926526e-04,0.934951,0.305203,-0.052297,4.653141e-02,3.057065e-01,0.152209,5.496092e-02,5.686457e-02
0,Q,1,62,1.333521432e-04,0.950977,0.266509,-0.452124,5.293565e-01,4.350967e-01,1.216641,5.270460e-01,5.848739e-01
0,Q,1,63,1.154781985e-04,0.963100,0.232234,0.446374,6.724634e-02,1.153238e-01,0.583109,6.813336e-02,5.900445e-02
0,Q,2,0,1.000000000e+00,-0.000141,-0.000114,-0.850645,1.020778e+00,4.436534e-01,2.300847,7.321752e-01,7.321097e-01
0,Q,2,1,8.659643234e-01,-0.000513,0.000381,-0.090091,3.732889e-01,7.405364e-02,5.040791,2.235944e-01,2.236002e-01
0,Q,2,2,7.498942093e-01,-0.000302,-0.000091,0.016346,1.985754e+00,1.866858e-01,10.636879,1.085949e+00,1.085950e+00
