layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,0,0,1.000000000e+00,-0.000141,-0.000114,0.661294,6.602538e-02,1.481977e-02,4.455223,4.041896e-02,4.042133e-02
0,Q,0,1,8.659643234e-01,-0.000513,0.000381,-0.818528,5.140214e-01,7.090702e-02,7.249231,2.923504e-01,2.924100e-01
0,Q,0,2,7.498942093e-01,-0.000302,-0.000091,-0.959770,1.952183e-01,4.274770e-01,0.456676,3.113827e-01,3.113573e-01
0,Q,0,3,6.493816316e-01,-0.000082,0.000691,0.111534,1.097262e-01,2.016902e-01,0.544034,1.557120e-01,1.557005e-01
0,Q,0,4,5.623413252e-01,-0.000657,0.000585,-0.428245,2.249385e-01,2.223633e-01,1.011581,2.236501e-01,2.237061e-01
0,Q,0,5,4.869675252e-01,-0.000345,0.000973,-0.615752,1.869982e-01,5.854051e-01,0.319434,3.862704e-01,3.864686e-01
0,Q,0,6,4.216965034e-01,-0.000354,-0.000042,0.372234,1.907514e-01,7.132278e-02,2.674481,1.310160e-01,1.310178e-01
0,Q,0,7,3.651741273e-01,0.000207,0.000125,-0.454187,9.429437e-02,1.243229e-01,0.758463,1.093055e-01,1.093117e-01
0,Q,0,8,3.162277660e-01,0.000501,0.000498,-0.810703,7.814971e-01,1.246943e-01,6.267306,4.532601e-01,4.533861e-01
0,Q,0,9,2.738419634e-01,-0.000581,0.001707,0.910975,4.246163e-01,4.492315e-01,0.945206,4.369310e-01,4.362519e-01
0,Q,0,10,2.371373706e-01,-0.000989,0.001734,-0.656713,2.175463e-01,2.279544e-01,0.954341,2.227555e-01,2.230092e-01
0,Q,0,11,2.053525026e-01,-0.000937,0.000196,-0.769740,2.156653e+00,1.464832e-01,14.722866,1.150626e+00,1.150711e+00
0,Q,0,12,1.778279410e-01,-0.000637,0.000035,-0.662909,3.106459e-01,1.007217e-01,3.084200,2.056170e-01,2.056211e-01
0,Q,0,13,1.539926526e-01,0.000591,0.002928,-0.410058,8.344953e-01,6.360098e-02,13.120793,4.492758e-01,4.495524e-01
0,Q,0,14,1.333521432e-01,-0.000775,0.000062,-0.383878,2.226956e-01,2.636055e-02,8.448061,1.244520e-01,1.244538e-01
0,Q,0,15,1.154781985e-01,0.001777,0.002740,0.431006,6.645068e-01,7.074144e-02,9.393459,3.681517e-01,3.678957e-01
0,Q,0,16,1.000000000e-01,0.002108,0.001763,-0.101577,7.433226e-02,1.344997e-01,0.552657,1.043526e-01,1.043705e-01
0,Q,0,17,8.659643234e-02,0.000356,0.005570,-0.084399,4.570869e-02,7.677849e-02,0.595332,6.123806e-02,6.126591e-02
0,Q,0,18,7.498942093e-02,-0.002202,0.000644,0.165646,4.691862e-01,6.212718e-02,7.552029,2.652086e-01,2.651904e-01
0,Q,0,19,6.493816316e-02,0.002888,0.005838,0.700798,1.499602e-01,6.884921e-01,0.217810,4.184485e-01,4.171338e-01
0,Q,0,20,5.623413252e-02,-0.004023,0.006479,-0.177678,2.739224e-01,3.377990e-02,8.109034,1.533681e-01,1.534789e-01
0,Q,0,21,4.869675252e-02,-0.005259,0.004912,-0.120841,2.954485e-01,7.350803e-02,4.019268,1.838947e-01,1.839822e-01
0,Q,0,22,4.216965034e-02,-0.000137,0.011576,0.598319,3.323018e-01,6.697750e-02,4.961394,1.996215e-01,1.985882e-01
0,Q,0,23,3.651741273e-02,-0.006439,0.004164,-0.401280,7.180587e-01,8.465397e-02,8.482280,3.993172e-01,3.997291e-01
0,Q,0,24,3.162277660e-02,-0.005526,0.013351,0.411602,1.565231e-01,7.745848e-02,2.020735,1.167723e-01,1.161673e-01
0,Q,0,25,2.738419634e-02,-0.007252,0.003401,-0.668713,1.404401e-01,2.629988e-01,0.533995,2.021639e-01,2.026009e-01
0,Q,0,26,2.371373706e-02,0.002145,0.020309,0.142102,1.406528e-01,1.041110e-01,1.350990,1.224211e-01,1.220719e-01
0,Q,0,27,2.053525026e-02,0.007325,0.021056,0.045798,7.311168e-01,4.803436e-02,15.220705,3.920773e-01,3.918966e-01
0,Q,0,28,1.778279410e-02,-0.007991,0.025063,-0.046528,7.401530e-02,8.468752e-02,0.873981,7.939405e-02,7.948638e-02
0,Q,0,29,1.539926526e-02,0.003815,0.000527,0.442662,1.684904e-01,6.344230e-02,2.655805,1.161668e-01,1.161426e-01
0,Q,0,30,1.333521432e-02,-0.017483,0.024473,0.088151,7.231275e-02,8.440186e-02,0.856767,7.846298e-02,7.829445e-02
