layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,0,0,1.000000000e+00,-0.000141,-0.000114,-0.938562,2.181699e+00,7.999004e-01,2.727464,1.490702e+00,1.490560e+00
0,Q,0,1,8.659643234e-01,-0.000513,0.000381,-0.644308,2.402286e+00,2.152757e-01,11.159113,1.308219e+00,1.308396e+00
0,Q,0,2,7.498942093e-01,-0.000302,-0.000091,0.844856,1.058587e+00,2.408340e-01,4.395505,6.495871e-01,6.496262e-01
0,Q,0,3,6.493816316e-01,-0.000082,0.000691,-0.166315,6.293147e-01,2.934284e-01,2.144696,4.613577e-01,4.614071e-01
0,Q,0,4,5.623413252e-01,-0.000657,0.000585,0.760494,1.608434e-01,9.685270e-01,0.166070,5.649506e-01,5.647751e-01
0,Q,0,5,4.869675252e-01,-0.000345,0.000973,0.689802,2.687602e-01,3.840886e-01,0.699735,3.264443e-01,3.262286e-01
0,Q,0,6,4.216965034e-01,-0.000354,-0.000042,-0.161490,2.962630e-01,6.431320e-01,0.460657,4.697589e-01,4.697559e-01
0,Q,0,7,3.651741273e-01,0.000207,0.000125,0.157350,1.821136e-01,5.768282e-01,0.315715,3.794301e-01,3.794237e-01
0,Q,0,8,3.162277660e-01,0.000501,0.000498,-0.577922,3.954499e-01,2.837976e-01,1.393422,3.396517e-01,3.397481e-01
0,Q,0,9,2.738419634e-01,-0.000581,0.001707,-0.276208,2.236687e-01,5.911686e-01,0.378350,4.075253e-01,4.076968e-01
0,Q,0,10,2.371373706e-01,-0.000989,0.001734,-0.766594,8.677314e-01,5.508475e-01,1.575266,7.091327e-01,7.100520e-01
0,Q,0,11,2.053525026e-01,-0.000937,0.000196,-0.201839,4.866861e-01,2.328677e-01,2.089969,3.596579e-01,3.596712e-01
0,Q,0,12,1.778279410e-01,-0.000637,0.000035,0.696915,7.799381e-01,2.899990e-01,2.689451,5.348126e-01,5.348009e-01
0,Q,0,13,1.539926526e-01,0.000591,0.002928,0.177121,6.772054e-01,3.145107e-01,2.153203,4.959652e-01,4.957259e-01
0,Q,0,14,1.333521432e-01,-0.000775,0.000062,-0.678644,3.761990e-01,7.845515e-01,0.479508,5.805336e-01,5.805565e-01
0,Q,0,15,1.154781985e-01,0.001777,0.002740,-0.568673,1.109711e+00,6.145318e-01,1.805783,8.625614e-01,8.638481e-01
0,Q,0,16,1.000000000e-01,0.002108,0.001763,0.410031,1.504177e+00,7.632362e-01,1.970789,1.134488e+00,1.133713e+00
0,Q,0,17,8.659643234e-02,0.000356,0.005570,0.715500,8.556583e-01,3.210088e-01,2.665529,5.884288e-01,5.863400e-01
0,Q,0,18,7.498942093e-02,-0.002202,0.000644,0.013101,1.083305e+00,3.818447e-01,2.837031,7.318028e-01,7.317973e-01
0,Q,0,19,6.493816316e-02,0.002888,0.005838,0.032722,5.564612e-01,5.852171e-01,0.950863,5.707976e-01,5.706886e-01
0,Q,0,20,5.623413252e-02,-0.004023,0.006479,0.564974,6.021547e-01,1.860491e+00,0.323654,1.233854e+00,1.229979e+00
0,Q,0,21,4.869675252e-02,-0.005259,0.004912,-0.664171,5.163856e-01,1.239443e+00,0.416627,8.798153e-01,8.824253e-01
0,Q,0,22,4.216965034e-02,-0.000137,0.011576,-0.683835,3.190444e-01,5.841089e-01,0.546207,4.515948e-01,4.550121e-01
0,Q,0,23,3.651741273e-02,-0.006439,0.004164,-0.466511,8.046333e-01,4.196318e-01,1.917475,6.108931e-01,6.120218e-01
0,Q,0,24,3.162277660e-02,-0.005526,0.013351,-0.149952,2.858149e-01,2.754469e-01,1.037641,2.806022e-01,2.811640e-01
0,Q,0,25,2.738419634e-02,-0.007252,0.003401,0.142356,2.540497e-01,2.976889e-01,0.853407,2.760276e-01,2.758944e-01
0,Q,0,26,2.371373706e-02,0.002145,0.020309,0.017848,6.771370e-01,6.954117e-01,0.973721,6.862548e-01,6.860061e-01
0,Q,0,27,2.053525026e-02,0.007325,0.021056,-0.388361,2.802327e-01,7.988356e-01,0.350802,5.376348e-01,5.415039e-01
