layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,11,18,5.623413252e-03,-0.037860,0.065093,0.191056,1.370848e-01,1.471798e-01,0.931411,1.423234e-01,1.405569e-01
0,Q,11,19,4.216965034e-03,-0.058139,0.058002,0.178445,2.139890e-01,2.143876e-01,0.998141,2.141999e-01,2.119830e-01
0,Q,11,20,3.162277660e-03,0.029071,0.005782,-0.256273,1.984113e-01,6.234117e-01,0.318267,4.047339e-01,4.052550e-01
0,Q,11,21,2.371373706e-03,-0.029757,0.201586,0.523431,7.564950e-01,1.821606e-01,4.152901,4.607826e-01,4.216130e-01
0,Q,11,22,1.778279410e-03,0.115461,0.063392,-0.050520,1.935795e-01,4.810771e-01,0.402388,3.207309e-01,3.217082e-01
0,Q,11,23,1.333521432e-03,-0.134071,0.058145,0.315119,3.047736e-01,3.849555e-01,0.791711,3.502396e-01,3.439636e-01
0,Q,11,24,1.000000000e-03,-0.199597,0.385077,-0.171015,1.750310e-01,3.500843e-01,0.499968,2.800277e-01,2.963292e-01
0,Q,11,25,7.498942093e-04,0.022292,0.650353,-0.314827,1.701906e-01,2.430080e-01,0.700350,2.057877e-01,2.474265e-01
0,Q,11,26,5.623413252e-04,0.322370,0.724679,-0.140136,3.442726e-01,1.794024e-01,1.918996,2.884121e-01,3.136504e-01
0,Q,11,27,4.216965034e-04,0.571593,0.669410,-0.322326,2.018713e-01,7.451275e-01,0.270922,3.182385e-01,4.019220e-01
0,Q,11,28,3.162277660e-04,0.742743,0.562238,0.530207,1.480304e+00,7.800441e-01,1.897718,1.390230e+00,1.069898e+00
0,Q,11,29,2.371373706e-04,0.849905,0.448857,0.312922,2.120563e-01,1.953241e-01,1.085664,2.108006e-01,1.822150e-01
0,Q,11,30,1.778279410e-04,0.913831,0.348535,0.284512,4.395914e-01,1.475114e-01,2.980050,4.270072e-01,4.017559e-01
0,Q,11,31,1.333521432e-04,0.950977,0.266509,-0.101926,3.572515e-01,2.853448e-01,1.251999,3.554890e-01,3.641619e-01
0,Q,12,0,1.000000000e+00,-0.000141,-0.000114,0.367593,7.621134e+00,2.236022e-01,34.083451,3.921846e+00,3.921901e+00
0,Q,12,1,7.498942093e-01,-0.000302,-0.000091,0.705978,1.378670e+00,1.360491e+00,1.013362,1.369578e+00,1.369666e+00
0,Q,12,2,5.623413252e-01,-0.000657,0.000585,-0.861480,1.993876e+00,2.303790e+00,0.865476,2.148935e+00,2.150014e+00
0,Q,12,3,4.216965034e-01,-0.000354,-0.000042,-0.815332,4.608078e+00,4.155980e+00,1.108782,4.381949e+00,4.381799e+00
0,Q,12,4,3.162277660e-01,0.000501,0.000498,0.763555,4.222387e-01,4.914188e-01,0.859224,4.568114e-01,4.566383e-01
0,Q,12,5,2.371373706e-01,-0.000989,0.001734,0.485011,7.938147e-01,2.370573e+00,0.334862,1.582974e+00,1.581820e+00
0,Q,12,6,1.778279410e-01,-0.000637,0.000035,-0.911166,1.344946e+00,1.302464e+00,1.032616,1.323692e+00,1.323734e+00
0,Q,12,7,1.333521432e-01,-0.000775,0.000062,-0.749046,5.155303e-01,2.389512e-01,2.157472,3.771336e-01,3.771499e-01
0,Q,12,8,1.000000000e-01,0.002108,0.001763,-0.052229,3.745020e+00,7.265048e-01,5.154845,2.238943e+00,2.239095e+00
0,Q,12,9,7.498942093e-02,-0.002202,0.000644,0.762179,2.204071e-01,2.473380e-01,0.891117,2.339022e-01,2.337876e-01
