layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,7,19,4.216965034e-03,-0.058139,0.058002,0.016465,3.908714e-01,1.145602e+00,0.341193,7.901764e-01,7.895374e-01
0,Q,7,20,3.162277660e-03,0.029071,0.005782,-0.783228,4.258118e+00,3.507096e-01,12.141434,2.361210e+00,2.366744e+00
0,Q,7,21,2.371373706e-03,-0.029757,0.201586,0.022376,2.218132e-01,7.751721e-01,0.286147,5.067258e-01,5.048553e-01
0,Q,7,22,1.778279410e-03,0.115461,0.063392,0.304871,3.938610e-01,5.091952e-01,0.773497,4.448698e-01,4.362148e-01
0,Q,7,23,1.333521432e-03,-0.134071,0.058145,-0.268944,3.486627e-01,5.869540e-01,0.594021,4.837823e-01,4.908565e-01
0,Q,7,24,1.000000000e-03,-0.199597,0.385077,-0.200376,6.270345e-01,6.123994e-01,1.023898,6.182564e-01,6.660706e-01
0,Q,7,25,7.498942093e-04,0.022292,0.650353,0.129451,3.668883e-01,4.053442e-01,0.905128,3.856876e-01,3.532213e-01
0,Q,7,26,5.623413252e-04,0.322370,0.724679,0.358898,7.557859e-01,3.368806e-01,2.243483,6.138544e-01,4.826181e-01
0,Q,7,27,4.216965034e-04,0.571593,0.669410,-0.026255,3.487057e-01,2.786763e-01,1.251293,3.337051e-01,3.391839e-01
0,Q,7,28,3.162277660e-04,0.742743,0.562238,-0.375377,4.968812e-01,5.334089e-01,0.931520,5.015797e-01,6.102333e-01
0,Q,7,29,2.371373706e-04,0.849905,0.448857,-0.335037,6.639764e-01,4.760935e-01,1.394634,6.498763e-01,7.344281e-01
0,Q,7,30,1.778279410e-04,0.913831,0.348535,-0.031839,6.354178e-01,8.954571e-01,0.709602,6.466216e-01,6.549921e-01
0,Q,7,31,1.333521432e-04,0.950977,0.266509,-0.052681,2.754144e-01,8.775344e-01,0.313850,2.901734e-01,2.970757e-01
0,Q,8,0,1.000000000e+00,-0.000141,-0.000114,-0.064580,6.181942e-02,4.519408e-02,1.367865,5.350558e-02,5.350519e-02
0,Q,8,1,7.498942093e-01,-0.000302,-0.000091,0.230287,4.865045e-02,1.014442e-01,0.479578,7.505530e-02,7.505678e-02
0,Q,8,2,5.623413252e-01,-0.000657,0.000585,0.009196,7.867892e-02,2.677310e-02,2.938730,5.270895e-02,5.270871e-02
0,Q,8,3,4.216965034e-01,-0.000354,-0.000042,0.226130,5.121924e-02,1.310958e-01,0.390701,9.117167e-02,9.117245e-02
0,Q,8,4,3.162277660e-01,0.000501,0.000498,-0.090788,6.795233e-02,5.008046e-02,1.356863,5.902087e-02,5.902351e-02
0,Q,8,5,2.371373706e-01,-0.000989,0.001734,0.398786,5.954944e-02,8.964748e-02,0.664262,7.461335e-02,7.456281e-02
0,Q,8,6,1.778279410e-01,-0.000637,0.000035,-0.298276,6.460385e-02,5.484267e-02,1.177985,5.972015e-02,5.972078e-02
0,Q,8,7,1.333521432e-01,-0.000775,0.000062,-0.201623,8.047334e-02,8.510396e-02,0.945589,8.279044e-02,8.279148e-02
0,Q,8,8,1.000000000e-01,0.002108,0.001763,-0.132817,1.228251e-01,9.650633e-02,1.272716,1.096935e-01,1.097190e-01
0,Q,8,9,7.498942093e-02,-0.002202,0.000644,0.638975,2.083242e-01,8.182870e-02,2.545857,1.449372e-01,1.448834e-01
0,Q,8,10,5.623413252e-02,-0.004023,0.006479,0.309002,9.531718e-02,5.889223e-02,1.618502,7.703144e-02,7.688143e-02
0,Q,8,11,4.216965034e-02,-0.000137,0.011576,-0.250276,1.144078e-01,1.598302e-01,0.715808,1.371221e-01,1.375139e-01
0,Q,8,12,3.162277660e-02,-0.005526,0.013351,-0.056945,9.745431e-02,2.193116e-01,0.444365,1.587196e-01,1.588308e-01
0,Q,8,13,2.371373706e-02,0.002145,0.020309,-0.115513,9.201676e-02,1.721535e-01,0.534504,1.319992e-01,1.322944e-01
0,Q,8,14,1.778279410e-02,-0.007991,0.025063,0.254140,1.003518e-01,4.077499e-01,0.246111,2.552790e-01,2.539905e-01
0,Q,8,15,1.333521432e-02,-0.017483,0.024473,-0.415440,1.189687e-01,9.409693e-02,1.264321,1.063154e-01,1.073911e-01
0,Q,8,16,1.000000000e-02,-0.003392,0.048624,0.523796,1.013101e-01,2.642141e-01,0.383439,1.830384e-01,1.788714e-01
0,Q,8,17,7.498942093e-03,-0.021037,0.007504,0.149964,1.233330e-01,2.545694e-01,0.484477,1.903316e-01,1.901322e-01
0,Q,8,18,5.623413252e-03,-0.037860,0.065093,0.503327,1.396260e-01,1.411874e-01,0.988941,1.404363e-01,1.358362e-01
0,Q,8,19,4.216965034e-03,-0.058139,0.058002,0.123294,9.723281e-02,8.137718e-02,1.194841,8.884408e-02,8.820796e-02
0,Q,8,20,3.162277660e-03,0.029071,0.005782,0.533953,1.084706e-01,1.147151e+00,0.094557,6.127130e-01,6.116240e-01
0,Q,8,21,2.371373706e-03,-0.029757,0.201586,0.303968,2.205448e-01,9.192582e-02,2.399160,1.543216e-01,1.455969e-01
0,Q,8,22,1.778279410e-03,0.115461,0.063392,-0.425758,6.627075e-02,2.077818e-01,0.318944,1.288567e-01,1.320238e-01
0,Q,8,23,1.333521432e-03,-0.134071,0.058145,-0.047184,1.516716e-01,5.179785e-02,2.928145,9.503967e-02,9.528285e-02
0,Q,8,24,1.000000000e-03,-0.199597,0.385077,-0.206808,6.294272e-02,1.494783e-01,0.421083,1.148466e-01,1.225712e-01
0,Q,8,25,7.498942093e-04,0.022292,0.650353,0.234766,1.068919e-01,1.024241e-01,1.043620,1.047078e-01,8.873216e-02
0,Q,8,26,5.623413252e-04,0.322370,0.724679,0.231834,1.631578e-01,8.685322e-02,1.878546,1.373047e-01,1.173051e-01
0,Q,8,27,4.216965034e-04,0.571593,0.669410,0.030829,1.651669e-01,1.843390e-01,0.895995,1.692736e-01,1.656726e-01
0,Q,8,28,3.162277660e-04,0.742743,0.562238,0.168781,7.541249e-02,7.061102e-02,1.067999,7.479489e-02,6.787015e-02
0,Q,8,29,2.371373706e-04,0.849905,0.448857,-0.305181,2.244376e-01,9.736116e-02,2.305207,2.149008e-01,2.351499e-01
0,Q,8,30,1.778279410e-04,0.913831,0.348535,0.030945,2.889998e-01,7.602868e-02,3.801195,2.798240e-01,2.782253e-01
0,Q,8,31,1.333521432e-04,0.950977,0.266509,-0.347640,2.917386e-01,9.442141e-02,3.089751,2.869021e-01,3.022791e-01
0,Q,9,0,1.000000000e+00,-0.000141,-0.000114,-0.543371,2.586781e-02,6.746650e-02,0.383417,4.667009e-02,4.666749e-02
0,Q,9,1,7.498942093e-01,-0.000302,-0.000091,0.148822,5.104205e-02,1.711811e-01,0.298176,1.111297e-01,1.111310e-01
0,Q,9,2,5.623413252e-01,-0.000657,0.000585,0.385974,1.583637e-01,1.173196e-01,1.349848,1.378282e-01,1.377974e-01
0,Q,9,3,4.216965034e-01,-0.000354,-0.000042,-0.842043,5.159479e-01,3.482967e-01,1.481346,4.320926e-01,4.320776e-01
0,Q,9,4,3.162277660e-01,0.000501,0.000498,-0.242681,3.145143e-01,1.012357e-01,3.106752,2.079284e-01,2.079499e-01
0,Q,9,5,2.371373706e-01,-0.000989,0.001734,-0.195410,9.977463e-02,3.129888e-01,0.318780,2.064872e-01,2.065471e-01
0,Q,9,6,1.778279410e-01,-0.000637,0.000035,-0.055327,8.187620e-02,6.809394e-02,1.202401,7.498068e-02,7.498083e-02
